########################################################################
# Job 2719406.akb in Schlange parallel
# angeforderte Ressourcen: neednodes=node004:ppn=8+node003:ppn=8+node002:ppn=8+node001:ppn=8,nodes=4:ppn=8,walltime=00:05:00
########################################################################


job: n=1000 p=2
rank  time  gflops  scalar

22 0.001179 0.000057 1134360089823052562432.000000
24 0.001204 0.000057 1134360089823052562432.000000
26 0.001201 0.000056 1134360089823052562432.000000
16 0.001263 0.000055 1134360089823052562432.000000
4 0.001318 0.000052 1134360089823052562432.000000
19 0.001207 0.000055 1134360089823052562432.000000


job: n=1000 p=30
rank  time  gflops  scalar

0 0.001192 0.000059 1134360089823052562432.000000
25 0.001183 0.000056 1134360089823052562432.000000
9 0.001180 0.000056 1134360089823052562432.000000
10 0.001210 0.000055 1134360089823052562432.000000
11 0.001220 0.000054 1134360089823052562432.000000
12 0.001208 0.000056 1134360089823052562432.000000
13 0.001261 0.000052 1134360089823052562432.000000
14 0.001201 0.000056 1134360089823052562432.000000
15 0.001261 0.000052 1134360089823052562432.000000
28 0.001184 0.000057 1134360089823052562432.000000
8 0.001173 0.000059 1134360089823052562432.000000
17 0.001193 0.000055 1134360089823052562432.000000


job: n=1000 p=32
rank  time  gflops  scalar

1 0.001183 0.000052 1170204049863636942848.000000
3 0.001157 0.000054 1170204049863636942848.000000
5 0.001157 0.000054 1170204049863636942848.000000
7 0.001140 0.000054 1170204049863636942848.000000
15 0.001247 0.000050 1170204049863636942848.000000
0 0.001216 0.000055 1170204049863636942848.000000
17 0.001271 0.000049 1170204049863636942848.000000
9 0.001192 0.000052 1170204049863636942848.000000
19 0.001262 0.000049 1170204049863636942848.000000
21 0.001264 0.000049 1170204049863636942848.000000
4 0.001237 0.000052 1170204049863636942848.000000
20 0.001327 0.000048 1170204049863636942848.000000
10 0.001223 0.000052 1170204049863636942848.000000
12 0.001223 0.000052 1170204049863636942848.000000
6 0.001485 0.000042 1170204049863636942848.000000
22 0.001582 0.000040 1170204049863636942848.000000
14 0.001638 0.000038 1170204049863636942848.000000
25 0.001284 0.000048 1170204049863636942848.000000
26 0.001321 0.000048 1170204049863636942848.000000
27 0.001269 0.000049 1170204049863636942848.000000
30 0.001617 0.000039 1170204049863636942848.000000
31 0.001138 0.000069 1170204049863636942848.000000
2 0.001226 0.000051 1170204049863636942848.000000
23 0.001237 0.000050 1170204049863636942848.000000
11 0.001192 0.000052 1170204049863636942848.000000
29 0.001289 0.000048 1170204049863636942848.000000
18 0.001332 0.000047 1170204049863636942848.000000
13 0.001304 0.000048 1170204049863636942848.000000
16 0.001329 0.000050 1170204049863636942848.000000
8 0.001227 0.000053 1170204049863636942848.000000
24 0.001323 0.000049 1170204049863636942848.000000
28 0.001321 0.000048 1170204049863636942848.000000
########################################################################
benutzte Ressourcen:
cput=00:00:00,mem=624kb,vmem=6228kb,walltime=00:00:19
########################################################################
