########################################################################
# Job 2719403.akb in Schlange parallel
# angeforderte Ressourcen: neednodes=node016:ppn=8+node015:ppn=8+node014:ppn=8+node013:ppn=8,nodes=4:ppn=8,walltime=00:05:00
########################################################################


job: n=1000 p=2
rank  time  gflops  scalar

19 0.000965 0.000102 1124101376988828925952.000000
15 0.001037 0.000094 1124101376988828925952.000000
14 0.001070 0.000092 1124101376988828925952.000000
4 0.000973 0.000101 1124101376988828925952.000000


job: n=1000 p=30
rank  time  gflops  scalar

1 0.001111 0.000086 1190781155119379775488.000000
3 0.001120 0.000086 1190781155119379775488.000000
7 0.001100 0.000087 1190781155119379775488.000000
0 0.001134 0.000085 1190781155119379775488.000000
2 0.001116 0.000086 1190781155119379775488.000000
4 0.001093 0.000088 1190781155119379775488.000000
5 0.001125 0.000085 1190781155119379775488.000000
6 0.001245 0.000077 1190781155119379775488.000000
8 0.001142 0.000084 1190781155119379775488.000000
9 0.001130 0.000085 1190781155119379775488.000000
17 0.001085 0.000088 1190781155119379775488.000000
18 0.001109 0.000087 1190781155119379775488.000000
10 0.001115 0.000086 1190781155119379775488.000000
19 0.001089 0.000088 1190781155119379775488.000000
11 0.001124 0.000085 1190781155119379775488.000000
24 0.001152 0.000083 1190781155119379775488.000000
20 0.001101 0.000087 1190781155119379775488.000000
12 0.001106 0.000087 1190781155119379775488.000000
26 0.001205 0.000080 1190781155119379775488.000000
13 0.001097 0.000088 1190781155119379775488.000000
21 0.001126 0.000085 1190781155119379775488.000000
14 0.001110 0.000086 1190781155119379775488.000000
22 0.001144 0.000084 1190781155119379775488.000000
27 0.001216 0.000079 1190781155119379775488.000000
23 0.001098 0.000087 1190781155119379775488.000000
15 0.001083 0.000089 1190781155119379775488.000000
28 0.001215 0.000079 1190781155119379775488.000000
29 0.001217 0.000095 1190781155119379775488.000000
16 0.001153 0.000083 1190781155119379775488.000000
25 0.001212 0.000079 1190781155119379775488.000000


job: n=1000 p=32
rank  time  gflops  scalar

7 0.001169 0.000080 1165149899341662781440.000000
5 0.001207 0.000078 1165149899341662781440.000000
23 0.001220 0.000077 1165149899341662781440.000000
3 0.001299 0.000072 1165149899341662781440.000000
17 0.001140 0.000082 1165149899341662781440.000000
21 0.001229 0.000076 1165149899341662781440.000000
6 0.001316 0.000071 1165149899341662781440.000000
22 0.001336 0.000070 1165149899341662781440.000000
4 0.001378 0.000068 1165149899341662781440.000000
0 0.001304 0.000072 1165149899341662781440.000000
16 0.001222 0.000077 1165149899341662781440.000000
18 0.001354 0.000069 1165149899341662781440.000000
20 0.001373 0.000068 1165149899341662781440.000000
2 0.001539 0.000061 1165149899341662781440.000000
1 0.001239 0.000076 1165149899341662781440.000000
8 0.001172 0.000080 1165149899341662781440.000000
9 0.001136 0.000083 1165149899341662781440.000000
24 0.001264 0.000074 1165149899341662781440.000000
10 0.001200 0.000078 1165149899341662781440.000000
25 0.001232 0.000076 1165149899341662781440.000000
28 0.001287 0.000073 1165149899341662781440.000000
19 0.001278 0.000074 1165149899341662781440.000000
29 0.001205 0.000078 1165149899341662781440.000000
11 0.001144 0.000082 1165149899341662781440.000000
30 0.001277 0.000074 1165149899341662781440.000000
12 0.001200 0.000078 1165149899341662781440.000000
31 0.001244 0.000088 1165149899341662781440.000000
13 0.001123 0.000084 1165149899341662781440.000000
14 0.001177 0.000080 1165149899341662781440.000000
15 0.001134 0.000083 1165149899341662781440.000000
26 0.001292 0.000073 1165149899341662781440.000000
27 0.001205 0.000078 1165149899341662781440.000000
########################################################################
benutzte Ressourcen:
cput=00:00:00,mem=628kb,vmem=6228kb,walltime=00:00:19
########################################################################
